id,phrase,name
1,"Alexa, open Focus Word.",Focus Word
2,launch Focus Word.,Focus Word
3,start Focus Word.,Focus Word
4,"Alexa, what's my Flash Briefing?",Daily Meditation Reminder
5,"Alexa, what's in the news?",Daily Meditation Reminder
6,"Alexa, ask Baby2Body how long until my due date",Baby2Body
7,"Alexa, ask Baby2Body to read my pregnancy tips",Baby2Body
8,"Alexa, ask Baby2Body how old is my baby",Baby2Body
9,"Alexa, start grate full",gratefull
10,"Alexa, open grate full",gratefull
11,"Alexa, open air pollution",Air Pollution
12,"Alexa, ask air pollution for air pollution London",Air Pollution
13,Alexa ask air pollution to list valid locations,Air Pollution
14,Alexa play Thunderstorm Sounds,Thunderstorm Sounds
15,Alexa open Thunderstorm Sounds,Thunderstorm Sounds
16,Alexa ask rain sounds to begin,Rain Sounds
17,Alexa tell rain sounds to start,Rain Sounds
18,Alexa ask rain sounds start playing,Rain Sounds
19,Alexa ask forest sounds to begin,Forest Sounds
20,Alexa tell forest sounds to start,Forest Sounds
21,Alexa ask forest sounds start playing,Forest Sounds
22,Alexa open Night Night,Night Night - Light & Sound
23,"Alexa, start just do it motivator",Just Do It Motivator
24,"Alexa, ask just do it motivator for help",Just Do It Motivator
25,"Alexa, tell just do it motivator that I wanna go to the gym today",Just Do It Motivator
26,"Alexa, ask cair what is the temperature right now?",Cair
27,"Alexa, ask cair about my home air quality.",Cair
28,"Alexa, ask cair about my cair number.",Cair
29,"Alexa, launch sleep rhythms",Sleep Rhythms
30,Alexa Open sleep rhythms,Sleep Rhythms
31,5 cycles,Sleep Rhythms
32,"Alexa, start Walk Through the Woods.",Walk Through the Woods
33,"Alexa, open Walk Through the Woods.",Walk Through the Woods
34,"Alexa, ask Health Coach for a fact",Health & Fitness Coach
35,"Alexa, open Health Coach",Health & Fitness Coach
36,"Alexa, ask Health Coach to tell me something",Health & Fitness Coach
37,Alexa ask Gareth's brain what I should wear,Gareth
38,Alexa ask Gareth's brain what food I should eat,Gareth
39,Alexa open biorhythm,Biorhythm
40,Alexa ask biorhythm my birth was on third december 1987,Biorhythm
41,I was born on tenth of October 1983,Biorhythm
42,"Alexa, give me a PowerUp.",PowerUp
43,"Alexa, get me air support.",AirSupport
44,"Alexa, open numbers forward two",numbers forward two
45,"Alexa, start numbers forward two",numbers forward two
46,"Alexa, launch numbers forward two",numbers forward two
47,"Alexa, open numbers backward two",numbers backward two
48,"Alexa, start numbers backward two",numbers backward two
49,"Alexa, launch numbers backward two",numbers backward two
50,"Alexa, ask my pharmacist how to take Motrin",MyPharmacist
51,"Alexa, ask my pharmacist to tell me about motrin",MyPharmacist
52,"Alexa, ask my pharmacist how to use Motrin",MyPharmacist
53,"Alexa, open numbers backward three",numbers backward three
54,"Alexa, start numbers backward three",numbers backward three
55,"Alexa, launch numbers backward three",numbers backward three
56,Alexa ask yoga teacher,Yoga Teacher
57,my level is beginner,Yoga Teacher
58,okay,Yoga Teacher
59,"Alexa, open numbers backward one",Numbers backward one
60,"Alexa, start numbers backward one",Numbers backward one
61,"Alexa, launch numbers backward one",Numbers backward one
62,"Alexa, open word memory one",word memory
63,"Alexa, start word memory one",word memory
64,"Alexa, launch word memory one",word memory
65,Alexa open story memory three and read story,story memory three
66,Alexa ask story memory three to go to story,story memory three
67,Alexa ask story memory three to read out story,story memory three
68,"Alexa, open word memory three",word memory three
69,"Alexa, start word memory three",word memory three
70,"Alexa, launch word memory three",word memory three
71,"Alexa, open letter category",letter category
72,"Alexa, start letter category",letter category
73,"Alexa, launch letter category",letter category
74,"Alexa, open word memory four",word memory four
75,"Alexa, start word memory four",word memory four
76,"Alexa, launch word memory four",word memory four
77,"Alexa, open letter number ordering",Letter number ordering
78,"Alexa, start letter number ordering",Letter number ordering
79,"Alexa, launch letter number ordering",Letter number ordering
80,Alexa Open healthy living,Healthy Living Tips
81,"Alexa, ask healthy living to give me a healthy tip",Healthy Living Tips
82,"Alexa, tell healthy living to give me a tip",Healthy Living Tips
83,"Alexa, open trigger advice",pbtrigger
84,"Alexa, start trigger advice",pbtrigger
85,"Alexa, launch trigger advice",pbtrigger
86,"Alexa, what's my Flash Briefing?",Plume in Glasgow Flash Briefing
87,"Alexa, what's in the news?",Plume in Glasgow Flash Briefing
88,"Alexa, what's my Flash Briefing?",Plume in Birmingham Flash Briefing
89,"Alexa, what's in the news?",Plume in Birmingham Flash Briefing
90,"Alexa, what's my Flash Briefing?",Plume in Liverpool Flash Briefing
91,"Alexa, what's in the news?",Plume in Liverpool Flash Briefing
92,"Alexa, what's my Flash Briefing?",Plume in Leeds Flash Briefing
93,"Alexa, what's in the news?",Plume in Leeds Flash Briefing
94,"Alexa, what's my Flash Briefing?",Plume in London Flash Briefing
95,"Alexa, what's in the news?",Plume in London Flash Briefing
96,"Alexa, open First Aid",First aid by British Red Cross
97,"Alexa, ask First Aid how to help someone who is having a seizure",First aid by British Red Cross
98,"Alexa, ask First Aid how to treat a nosebleed",First aid by British Red Cross
99,"Alexa, start Rainforest Sounds",Sleep Sounds: Rainforest Sounds
100,"Alexa, ask Rainforest Sounds to loop",Sleep Sounds: Rainforest Sounds
101,"Alexa, open Rainforest Sounds",Sleep Sounds: Rainforest Sounds
102,"Alexa, start Fan Sounds",Sleep Sounds: Fan Sounds
103,"Alexa, ask Fan Sounds to loop",Sleep Sounds: Fan Sounds
104,"Alexa, open Fan Sounds",Sleep Sounds: Fan Sounds
105,Alexa Open Belly Breathing,Belly Breathing
106,Alexa Start Belly Breathing,Belly Breathing
107,Alexa start No Cigarettes,No Cigarettes
108,Alexa open No Cigarettes,No Cigarettes
109,Alexa launch No Cigarettes,No Cigarettes
110,Alexa ask great event dates how long until the Great North Run?,Great Event Dates
111,Alexa ask great event dates what date is the Great Manchester Run?,Great Event Dates
112,Alexa ask great event dates how many days until the Stirling Scottish Marathon?,Great Event Dates
113,Alexa open 3rings.,3rings
114,Alexa ask 3rings if everything's okay at Mum's house?,3rings
115,Alexa tell 3rings I need help.,3rings
116,"Alexa, chill out",Chill Out
117,"Alexa, ask chill out for a minute",Chill Out
118,"Alexa, ask chill out for a session",Chill Out
119,Alexa Ask White Noise Generator to play Rain,White Noise Generator
120,Alexa Ask White Noise Generator to play River,White Noise Generator
121,Alexa Ask White Noise Generator to play Static,White Noise Generator
122,Alexa Ask Soothing guide to give me a vision tip,Soother
123,give me a tip for smell,Soother
124,lets breathe together,Soother
