name,description
Focus Word,"Focus Word provides an inspirational word or phrase along with a brief statement to serve as a point of focus you can use during meditation, or as a touchstone throughout the day. The word and statement are also sent to the Alexa app, in case you'd like to view them again."
Daily Meditation Reminder,Daily Meditation Reminder's human host reminds you to meditate each day. Set goals and improve your health with meditation!
Baby2Body,"Baby2Body is your personalised healthy living guide for pregnancy and early motherhood. Now, with Alexa, you can get your daily or weekly tips on the go – which include updates on your baby’s growth and information on your wellbeing, fitness, nutrition or beauty. All you have to do is ask Alexa to “Read my tips”. Alexa also helps you stay in tune with your baby’s development by asking “How many days to go?” or “How old is my baby?“. We believe happy, healthy moms make for happy, healthy babies – and Alexa makes it even easier to live your happiest, healthiest lifestyle as a new or soon-to-be mom.

How to set up:

1. Sign up to the Baby2Body platform either through the website (baby2body.com) or the iOS app (baby2body.com/app)
2. On the Alexa app enable the Baby2Body skill. You will be asked to enter your Baby2Body login details to authorise
3. Ask away!

Alexa understands:

Alexa, ask Baby2Body how long until my due date
Alexa, ask Baby2Body how many days to go
Alexa, ask Baby2Body how old is my baby
Alexa, ask Baby2Body get my days to go
Alexa, ask Baby2Body when do I give birth
Alexa, ask Baby2Body how old is my baby girl
Alexa, ask Baby2Body how old is my baby boy
Alexa, ask Baby2Body read my daily tips
Alexa, ask Baby2Body read me my tips
Alexa, ask Baby2Body to read my pregnancy tips
Alexa, ask Baby2Body to read my new mom tips"
gratefull,"Gratefulness is the act of expressing gratitude and being thankful for what you have. As research suggests, practicing gratefulness daily leads to a positive outlook on life, improving your physical and emotional health. Not only that, spending some time reflecting on your day and reminding yourself of the positive events can help you sleep longer and better!

Practicing gratefulness with a notebook and pen requires additional effort in our already busy lives. This skill makes it quick and easy to build a powerful habit. Simply say: ""Alexa, start grate full."" When asked, tell Alexa what you are grateful for and don't forget to rate your day on a scale between 0 and 10 (10 being the best). That's it - you are done! It takes less than 2 minutes.

If you need help during the process, simply say, ""Alexa Help"". If something came up and you can't finish, just say ""Alexa Stop"" or ""Alexa Cancel"". All the best!"
Air Pollution,"Provides the current hourly forecast (based of the current readings in an area) of air pollution for a given area.

Makes use of information provided by http://www.londonair.org.uk published under the Open Government Licence - https://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/

Currently supports the current areas:
AroundLondon
CambridgeCity
Cambridgeshire
Essex
Hampshire
Leicester
London
Sussex
Adur
Almbridget
Arun
Barking and Dagenham
Barnet
Bexley
Brent
Brentwood
Brighton and Hove
Bromley
Camden
Castlepoint
Chichester
City of London
Crawley
Croydon
Dacorum
Ealing
Eastbourne
Enfield
Engie
Greenwich
Hackney
Hammersmith and Fulham
Haringey
Harrow
Hastings
Havering
Hillingdon
Horsham
Hounslow
Islington
Kensington and Chelsea
Kingston
Lambeth
Lewes
Lewisham
Merton
Midsussex
Molevalley
Newham
Redbridge
Reigateandbanstead
Richmond
Rother
Runnymeade
Sevenoaks
Singlela
Southwark
Sutton
Thurrock
Tower Hamlets
Waltham Forest
Wandsworth
Wealden
Westminster
Windsor and Maidenhead
Worthing"
Thunderstorm Sounds,"Play relaxing thunderstorm sounds that help you fall asleep.

Enjoy a good night sleep!"
Rain Sounds,Listen to soothing sounds from the rain
Forest Sounds,Listen to soothing sounds from a forest
Night Night - Light & Sound,"Good sleep is good for your health and happiness. Night Night turns on Alexa's light, says a nice positive goodnight message then plays a short music box song (~1 min) to help you relax and prepare for sleep.

To try this skill, click the 'Enable’ button in the Alexa App or say 'Alexa enable Night Night'. Then say 'Alexa open Night Night' to use. Say 'Alexa stop' to turn the music off.

Everyone needs good sleep each night and we hope this skill helps you relax into a positive mindset before sleeping.

Send us an email if you have any suggestions or feedback - support@voicecities.com. If you love this skill, please search for 'Night Night' in the Alexa app and leave us 5-stars. It would mean the world to us!"
Just Do It Motivator,"★★★ MAY THE MOTIVATION BE WITH YOU ★★★

The best Motivation speeches you've ever heard!

Simply start the Motivator to get some motivation with:
�� ""Alexa, start just do it motivator""

Or, ask Motivator for help, and he will listen for you! It is as easy as:
�� ""Alexa, ask just do it motivator for help""

You can also tell Motivator, what you want to do and get the motivation to achieve your goal:
�� ""Alexa, tell just do it motivator that I wanna go to the gym today""

Get daily motivations people and increase the amount of endorphin in your blood :)

--
Motivator is inspired by the best Motivational Speech ""Just Do It"" by Shia LaBeouf

--
For Feedback feel free to drop us a message saandji.s@gmail.com or make a comment here!"
